"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_REGULATION_OF_ORGAN_GROWTH","GOBP_REGULATION_OF_ORGAN_GROWTH","GOBP_REGULATION_OF_ORGAN_GROWTH","3/201","101/17872",0.105388467549716,0.259417908749059,0.186289127619435,"PTEN/DUSP6/SAV1",3
"GOBP_DNA_DEPENDENT_DNA_REPLICATION","GOBP_DNA_DEPENDENT_DNA_REPLICATION","GOBP_DNA_DEPENDENT_DNA_REPLICATION","4/201","160/17872",0.106652256672638,0.259417908749059,0.186289127619435,"OOEP/BCL6/BAZ1A/HELB",4
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY","GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"GNG2",1
"GOBP_ASTRAL_MICROTUBULE_ORGANIZATION","GOBP_ASTRAL_MICROTUBULE_ORGANIZATION","GOBP_ASTRAL_MICROTUBULE_ORGANIZATION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"LIMK2",1
"GOBP_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT","GOBP_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT","GOBP_CELL_PROLIFERATION_INVOLVED_IN_METANEPHROS_DEVELOPMENT","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"EGR1",1
"GOBP_DESMOSOME_ORGANIZATION","GOBP_DESMOSOME_ORGANIZATION","GOBP_DESMOSOME_ORGANIZATION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"PKP2",1
"GOBP_DNA_INTEGRATION","GOBP_DNA_INTEGRATION","GOBP_DNA_INTEGRATION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"THAP9",1
"GOBP_EMBRYONIC_VISCEROCRANIUM_MORPHOGENESIS","GOBP_EMBRYONIC_VISCEROCRANIUM_MORPHOGENESIS","GOBP_EMBRYONIC_VISCEROCRANIUM_MORPHOGENESIS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"CHST11",1
"GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"GCH1",1
"GOBP_GAS_HOMEOSTASIS","GOBP_GAS_HOMEOSTASIS","GOBP_GAS_HOMEOSTASIS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"SOD2",1
"GOBP_HYALURONAN_CATABOLIC_PROCESS","GOBP_HYALURONAN_CATABOLIC_PROCESS","GOBP_HYALURONAN_CATABOLIC_PROCESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"CD44",1
"GOBP_MANGANESE_ION_TRANSMEMBRANE_TRANSPORT","GOBP_MANGANESE_ION_TRANSMEMBRANE_TRANSPORT","GOBP_MANGANESE_ION_TRANSMEMBRANE_TRANSPORT","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"TMEM165",1
"GOBP_NAD_BIOSYNTHESIS_VIA_NICOTINAMIDE_RIBOSIDE_SALVAGE_PATHWAY","GOBP_NAD_BIOSYNTHESIS_VIA_NICOTINAMIDE_RIBOSIDE_SALVAGE_PATHWAY","GOBP_NAD_BIOSYNTHESIS_VIA_NICOTINAMIDE_RIBOSIDE_SALVAGE_PATHWAY","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"NAMPT",1
"GOBP_NEGATIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL","GOBP_NEGATIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL","GOBP_NEGATIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"PTEN",1
"GOBP_NEGATIVE_REGULATION_OF_FIBRINOLYSIS","GOBP_NEGATIVE_REGULATION_OF_FIBRINOLYSIS","GOBP_NEGATIVE_REGULATION_OF_FIBRINOLYSIS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"THBS1",1
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"UBAC2",1
"GOBP_NEURON_PROJECTION_MAINTENANCE","GOBP_NEURON_PROJECTION_MAINTENANCE","GOBP_NEURON_PROJECTION_MAINTENANCE","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"INSR",1
"GOBP_NK_T_CELL_DIFFERENTIATION","GOBP_NK_T_CELL_DIFFERENTIATION","GOBP_NK_T_CELL_DIFFERENTIATION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"ZBTB16",1
"GOBP_NUCLEOBASE_TRANSPORT","GOBP_NUCLEOBASE_TRANSPORT","GOBP_NUCLEOBASE_TRANSPORT","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"AQP9",1
"GOBP_POSITIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY","GOBP_POSITIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY","GOBP_POSITIVE_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"PRKCH",1
"GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_MHC_CLASS_II_BIOSYNTHETIC_PROCESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"TLR4",1
"GOBP_POSITIVE_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"CCL3",1
"GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"TNFAIP3",1
"GOBP_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS","GOBP_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS","GOBP_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"ATP1A1",1
"GOBP_REGULATION_OF_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS","GOBP_REGULATION_OF_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS","GOBP_REGULATION_OF_LYSOSOMAL_PROTEIN_CATABOLIC_PROCESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"LDLR",1
"GOBP_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION","GOBP_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION","GOBP_REGULATION_OF_MATRIX_METALLOPEPTIDASE_SECRETION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"TLR4",1
"GOBP_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION","GOBP_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION","GOBP_REGULATION_OF_NITRIC_OXIDE_MEDIATED_SIGNAL_TRANSDUCTION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"THBS1",1
"GOBP_REGULATION_OF_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS","GOBP_REGULATION_OF_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS","GOBP_REGULATION_OF_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"LDLR",1
"GOBP_RESPONSE_TO_LIPOTEICHOIC_ACID","GOBP_RESPONSE_TO_LIPOTEICHOIC_ACID","GOBP_RESPONSE_TO_LIPOTEICHOIC_ACID","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"TLR4",1
"GOBP_RESPONSE_TO_NITROSATIVE_STRESS","GOBP_RESPONSE_TO_NITROSATIVE_STRESS","GOBP_RESPONSE_TO_NITROSATIVE_STRESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"DUSP6",1
"GOBP_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS","GOBP_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS","GOBP_SPHINGOMYELIN_BIOSYNTHETIC_PROCESS","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"SGMS2",1
"GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL","GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL","GOBP_T_CELL_ACTIVATION_VIA_T_CELL_RECEPTOR_CONTACT_WITH_ANTIGEN_BOUND_TO_MHC_MOLECULE_ON_ANTIGEN_PRESENTING_CELL","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"ICAM1",1
"GOBP_URINARY_TRACT_SMOOTH_MUSCLE_CONTRACTION","GOBP_URINARY_TRACT_SMOOTH_MUSCLE_CONTRACTION","GOBP_URINARY_TRACT_SMOOTH_MUSCLE_CONTRACTION","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"KCNMA1",1
"GOBP_VIRION_ATTACHMENT_TO_HOST_CELL","GOBP_VIRION_ATTACHMENT_TO_HOST_CELL","GOBP_VIRION_ATTACHMENT_TO_HOST_CELL","1/201","10/17872",0.106967491706786,0.259417908749059,0.186289127619435,"ICAM1",1
"GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT","GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT","GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT","5/201","223/17872",0.107490415912195,0.260420573637417,0.187009145633024,"IL1B/PTPN1/UBAC2/PLK3/PTGS2",5
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","8/201","425/17872",0.107663483125393,0.260420573637417,0.187009145633024,"SOD2/PMAIP1/PTEN/ATP1A1/TNF/KCNJ2/KCNMA1/PKP2",8
"GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS","3/201","102/17872",0.10773013337867,0.260420573637417,0.187009145633024,"NFKB1/STAT3/PLEK",3
"GOBP_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","GOBP_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","GOBP_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION","3/201","102/17872",0.10773013337867,0.260420573637417,0.187009145633024,"IL1B/PTEN/LDLRAD4",3
"GOBP_ACTIVATED_T_CELL_PROLIFERATION","GOBP_ACTIVATED_T_CELL_PROLIFERATION","GOBP_ACTIVATED_T_CELL_PROLIFERATION","2/201","50/17872",0.108657363244958,0.261602029507433,0.187857554227509,"SLAMF1/IL2RA",2
"GOBP_CAMP_MEDIATED_SIGNALING","GOBP_CAMP_MEDIATED_SIGNALING","GOBP_CAMP_MEDIATED_SIGNALING","2/201","50/17872",0.108657363244958,0.261602029507433,0.187857554227509,"RAPGEF2/ADM",2
"GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION","GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION","GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION","2/201","50/17872",0.108657363244958,0.261602029507433,0.187857554227509,"PMAIP1/NFE2L2",2
"GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE","GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE","2/201","50/17872",0.108657363244958,0.261602029507433,0.187857554227509,"ATP1A1/KCNJ2",2
"GOBP_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS","GOBP_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS","GOBP_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS","2/201","50/17872",0.108657363244958,0.261602029507433,0.187857554227509,"PRKCE/KLF7",2
"GOBP_REGULATION_OF_CELL_KILLING","GOBP_REGULATION_OF_CELL_KILLING","GOBP_REGULATION_OF_CELL_KILLING","3/201","103/17872",0.11009201897154,0.264415855549199,0.189878174936083,"SERPINB9/CD55/ICAM1",3
"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE","3/201","103/17872",0.11009201897154,0.264415855549199,0.189878174936083,"TNF/PRKCE/PRKCH",3
"GOBP_TRIGLYCERIDE_METABOLIC_PROCESS","GOBP_TRIGLYCERIDE_METABOLIC_PROCESS","GOBP_TRIGLYCERIDE_METABOLIC_PROCESS","3/201","103/17872",0.11009201897154,0.264415855549199,0.189878174936083,"ACSL1/LDLR/GK",3
"GOBP_POSTSYNAPSE_ORGANIZATION","GOBP_POSTSYNAPSE_ORGANIZATION","GOBP_POSTSYNAPSE_ORGANIZATION","4/201","162/17872",0.110288433703884,0.264674495364993,0.19006390531177,"SIPA1L1/PTEN/INSR/IL1RAPL1",4
"GOBP_GLIAL_CELL_MIGRATION","GOBP_GLIAL_CELL_MIGRATION","GOBP_GLIAL_CELL_MIGRATION","2/201","51/17872",0.112290182161103,0.267890185903518,0.192373106661841,"GPR183/CCL3",2
"GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS","2/201","51/17872",0.112290182161103,0.267890185903518,0.192373106661841,"STAT3/PLEK",2
"GOBP_NEUTRAL_AMINO_ACID_TRANSPORT","GOBP_NEUTRAL_AMINO_ACID_TRANSPORT","GOBP_NEUTRAL_AMINO_ACID_TRANSPORT","2/201","51/17872",0.112290182161103,0.267890185903518,0.192373106661841,"SLC1A3/SLC1A2",2
"GOBP_SYNAPTIC_TRANSMISSION_GABAERGIC","GOBP_SYNAPTIC_TRANSMISSION_GABAERGIC","GOBP_SYNAPTIC_TRANSMISSION_GABAERGIC","2/201","51/17872",0.112290182161103,0.267890185903518,0.192373106661841,"PTEN/PRKCE",2
"GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY","GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY","GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY","3/201","104/17872",0.112473834922275,0.267890185903518,0.192373106661841,"FMN1/IL1RAPL1/SDC4",3
"GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS","GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS","GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS","6/201","293/17872",0.113691086725105,0.267890185903518,0.192373106661841,"MBNL1/HNRNPC/ZFP36/SCGB1A1/RBFOX2/BTG2",6
"GOBP_REGULATION_OF_NEUROGENESIS","GOBP_REGULATION_OF_NEUROGENESIS","GOBP_REGULATION_OF_NEUROGENESIS","7/201","361/17872",0.113704865588676,0.267890185903518,0.192373106661841,"IL1B/PTEN/LDLR/RAPGEF2/TNF/IL1RAPL1/PRKCH",7
"GOBP_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT","GOBP_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT","GOBP_NEGATIVE_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT","3/201","105/17872",0.114875290640452,0.267890185903518,0.192373106661841,"SESTD1/TNF/PRKCE",3
"GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS","GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS","GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS","6/201","294/17872",0.115040598953947,0.267890185903518,0.192373106661841,"NFKBIA/ZBTB16/LIMK2/PTGS2/GBP2/STAT3",6
"GOBP_APOPTOTIC_CELL_CLEARANCE","GOBP_APOPTOTIC_CELL_CLEARANCE","GOBP_APOPTOTIC_CELL_CLEARANCE","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"THBS1/RHOH",2
"GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY","GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY","GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"OOEP/CLIC4",2
"GOBP_FC_RECEPTOR_SIGNALING_PATHWAY","GOBP_FC_RECEPTOR_SIGNALING_PATHWAY","GOBP_FC_RECEPTOR_SIGNALING_PATHWAY","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"HCK/PRKCE",2
"GOBP_MEMBRANE_REPOLARIZATION","GOBP_MEMBRANE_REPOLARIZATION","GOBP_MEMBRANE_REPOLARIZATION","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"ATP1A1/KCNJ2",2
"GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_MIGRATION","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"DUSP1/TNFAIP6",2
"GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"TNF/CCL3",2
"GOBP_PRESYNAPSE_ORGANIZATION","GOBP_PRESYNAPSE_ORGANIZATION","GOBP_PRESYNAPSE_ORGANIZATION","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"PTEN/IL1RAPL1",2
"GOBP_SYNAPTIC_VESICLE_LOCALIZATION","GOBP_SYNAPTIC_VESICLE_LOCALIZATION","GOBP_SYNAPTIC_VESICLE_LOCALIZATION","2/201","52/17872",0.115954279890698,0.267890185903518,0.192373106661841,"PTEN/SYN1",2
"GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS","GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS","GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"GK",1
"GOBP_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"PTEN",1
"GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"PDE4B",1
"GOBP_CORNEA_DEVELOPMENT_IN_CAMERA_TYPE_EYE","GOBP_CORNEA_DEVELOPMENT_IN_CAMERA_TYPE_EYE","GOBP_CORNEA_DEVELOPMENT_IN_CAMERA_TYPE_EYE","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"LIMK2",1
"GOBP_DENDRITIC_CELL_APOPTOTIC_PROCESS","GOBP_DENDRITIC_CELL_APOPTOTIC_PROCESS","GOBP_DENDRITIC_CELL_APOPTOTIC_PROCESS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"RAPGEF2",1
"GOBP_DITERPENOID_BIOSYNTHETIC_PROCESS","GOBP_DITERPENOID_BIOSYNTHETIC_PROCESS","GOBP_DITERPENOID_BIOSYNTHETIC_PROCESS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"ALDH1A2",1
"GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS","GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS","GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"CLIC4",1
"GOBP_HEME_TRANSPORT","GOBP_HEME_TRANSPORT","GOBP_HEME_TRANSPORT","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"FLVCR2",1
"GOBP_HORMONE_CATABOLIC_PROCESS","GOBP_HORMONE_CATABOLIC_PROCESS","GOBP_HORMONE_CATABOLIC_PROCESS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"ECE1",1
"GOBP_INTERLEUKIN_1_ALPHA_PRODUCTION","GOBP_INTERLEUKIN_1_ALPHA_PRODUCTION","GOBP_INTERLEUKIN_1_ALPHA_PRODUCTION","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"IL1R2",1
"GOBP_KYNURENINE_METABOLIC_PROCESS","GOBP_KYNURENINE_METABOLIC_PROCESS","GOBP_KYNURENINE_METABOLIC_PROCESS","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"KYNU",1
"GOBP_LEPTIN_MEDIATED_SIGNALING_PATHWAY","GOBP_LEPTIN_MEDIATED_SIGNALING_PATHWAY","GOBP_LEPTIN_MEDIATED_SIGNALING_PATHWAY","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"STAT3",1
"GOBP_MEMBRANE_HYPERPOLARIZATION","GOBP_MEMBRANE_HYPERPOLARIZATION","GOBP_MEMBRANE_HYPERPOLARIZATION","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"SOD2",1
"GOBP_MIDGUT_DEVELOPMENT","GOBP_MIDGUT_DEVELOPMENT","GOBP_MIDGUT_DEVELOPMENT","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"ALDH1A2",1
"GOBP_MUSCLE_ATROPHY","GOBP_MUSCLE_ATROPHY","GOBP_MUSCLE_ATROPHY","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"CFLAR",1
"GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE","GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE","GOBP_NEGATIVE_REGULATION_OF_AMYLOID_BETA_CLEARANCE","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"TNF",1
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPIRATION","GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPIRATION","GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPIRATION","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"TNF",1
"GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION","GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION","GOBP_NEGATIVE_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"NFE2L2",1
"GOBP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN","GOBP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN","GOBP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"CD55",1
"GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL","GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"PMAIP1",1
"GOBP_NEGATIVE_REGULATION_OF_NEURON_MIGRATION","GOBP_NEGATIVE_REGULATION_OF_NEURON_MIGRATION","GOBP_NEGATIVE_REGULATION_OF_NEURON_MIGRATION","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"STAT3",1
"GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA","GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA","GOBP_NEGATIVE_REGULATION_OF_PRODUCTION_OF_MIRNAS_INVOLVED_IN_GENE_SILENCING_BY_MIRNA","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"TNF",1
"GOBP_NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"SLAMF1",1
"GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_MIGRATION","GOBP_POSITIVE_REGULATION_OF_GLIAL_CELL_MIGRATION","1/201","11/17872",0.117016732226713,0.267890185903518,0.192373106661841,"CCL3",1
