"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_INOSITOL_PHOSPHATE_CATABOLIC_PROCESS","GOBP_INOSITOL_PHOSPHATE_CATABOLIC_PROCESS","GOBP_INOSITOL_PHOSPHATE_CATABOLIC_PROCESS","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"INPP5A",1
"GOBP_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT","GOBP_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT","GOBP_MAMMARY_GLAND_ALVEOLUS_DEVELOPMENT","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"HIF1A",1
"GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT","GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT","GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"ATP5MG",1
"GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION","GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION","GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"SUPT4H1",1
"GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE","GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE","GOBP_NEGATIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"APOC1",1
"GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION","GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"GRN",1
"GOBP_POLYAMINE_METABOLIC_PROCESS","GOBP_POLYAMINE_METABOLIC_PROCESS","GOBP_POLYAMINE_METABOLIC_PROCESS","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"OAZ1",1
"GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"CD36",1
"GOBP_RESPONSE_TO_MAGNESIUM_ION","GOBP_RESPONSE_TO_MAGNESIUM_ION","GOBP_RESPONSE_TO_MAGNESIUM_ION","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"CD14",1
"GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE","GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE","GOBP_RETINA_VASCULATURE_DEVELOPMENT_IN_CAMERA_TYPE_EYE","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"HIF1A",1
"GOBP_TELOMERASE_RNA_LOCALIZATION","GOBP_TELOMERASE_RNA_LOCALIZATION","GOBP_TELOMERASE_RNA_LOCALIZATION","1/171","19/17872",0.167032399143618,0.405923130184262,0.344807337266243,"NOP10",1
"GOBP_AXO_DENDRITIC_TRANSPORT","GOBP_AXO_DENDRITIC_TRANSPORT","GOBP_AXO_DENDRITIC_TRANSPORT","2/171","77/17872",0.16801082137503,0.406440756948251,0.345247030136436,"HIF1A/HSPA8",2
"GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","GOBP_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE","2/171","77/17872",0.16801082137503,0.406440756948251,0.345247030136436,"EZR/GSTP1",2
"GOBP_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION","GOBP_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION","2/171","77/17872",0.16801082137503,0.406440756948251,0.345247030136436,"PYCARD/CD14",2
"GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","GOBP_REGULATION_OF_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY","2/171","77/17872",0.16801082137503,0.406440756948251,0.345247030136436,"CYBA/CD36",2
"GOBP_REGULATION_OF_CELL_MORPHOGENESIS","GOBP_REGULATION_OF_CELL_MORPHOGENESIS","GOBP_REGULATION_OF_CELL_MORPHOGENESIS","5/171","305/17872",0.168795339503002,0.407410569436792,0.346070827641323,"ITGB2/CFL1/EZR/ALDOA/ARPC2",5
"GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY","GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY","GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY","5/171","305/17872",0.168795339503002,0.407410569436792,0.346070827641323,"TMSB4X/ACTB/OXSR1/NDUFA4/FXYD5",5
"GOBP_REGULATION_OF_CHEMOTAXIS","GOBP_REGULATION_OF_CHEMOTAXIS","GOBP_REGULATION_OF_CHEMOTAXIS","4/171","225/17872",0.169603244139463,0.407842762657895,0.346437949844203,"TMSB4X/AIF1/STX3/OXSR1",4
"GOBP_REGULATION_OF_PROTEIN_TARGETING","GOBP_REGULATION_OF_PROTEIN_TARGETING","GOBP_REGULATION_OF_PROTEIN_TARGETING","2/171","78/17872",0.171409558255236,0.407842762657895,0.346437949844203,"ITGB2/USP36",2
"GOBP_CELL_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_CELL_JUNCTION_ASSEMBLY","GOBP_CELL_CELL_JUNCTION_ASSEMBLY","3/171","150/17872",0.173805590787802,0.407842762657895,0.346437949844203,"ACTB/ACTG1/CD9",3
"GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT","GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT","GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT","3/171","150/17872",0.173805590787802,0.407842762657895,0.346437949844203,"GRN/APOE/S100A9",3
"GOBP_RESPONSE_TO_NUTRIENT","GOBP_RESPONSE_TO_NUTRIENT","GOBP_RESPONSE_TO_NUTRIENT","3/171","150/17872",0.173805590787802,0.407842762657895,0.346437949844203,"GPX1/TSPO/SLC27A4",3
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","2/171","79/17872",0.174819735570268,0.407842762657895,0.346437949844203,"S100A9/RPS19",2
"GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","GOBP_NEGATIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","2/171","79/17872",0.174819735570268,0.407842762657895,0.346437949844203,"TSPO/GSTP1",2
"GOBP_ARGININE_METABOLIC_PROCESS","GOBP_ARGININE_METABOLIC_PROCESS","GOBP_ARGININE_METABOLIC_PROCESS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"DDAH2",1
"GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS","GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS","GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"TSPO",1
"GOBP_CONNECTIVE_TISSUE_REPLACEMENT","GOBP_CONNECTIVE_TISSUE_REPLACEMENT","GOBP_CONNECTIVE_TISSUE_REPLACEMENT","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"HIF1A",1
"GOBP_DENDRITIC_SPINE_MAINTENANCE","GOBP_DENDRITIC_SPINE_MAINTENANCE","GOBP_DENDRITIC_SPINE_MAINTENANCE","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"APOE",1
"GOBP_ENAMEL_MINERALIZATION","GOBP_ENAMEL_MINERALIZATION","GOBP_ENAMEL_MINERALIZATION","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"FAM20A",1
"GOBP_LINOLEIC_ACID_METABOLIC_PROCESS","GOBP_LINOLEIC_ACID_METABOLIC_PROCESS","GOBP_LINOLEIC_ACID_METABOLIC_PROCESS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"GSTP1",1
"GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE","GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE","GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"PFN1",1
"GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION","GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION","GOBP_MODULATION_BY_HOST_OF_VIRAL_GENOME_REPLICATION","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"HSPA8",1
"GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION","GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION","GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"HIF1A",1
"GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA","GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA","GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"GPX1",1
"GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"HIF1A",1
"GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"TMSB4X",1
"GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS","GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS","GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"RANBP2",1
"GOBP_PODOSOME_ASSEMBLY","GOBP_PODOSOME_ASSEMBLY","GOBP_PODOSOME_ASSEMBLY","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"CAPG",1
"GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS","GOBP_POSITIVE_REGULATION_OF_GLYCOLYTIC_PROCESS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"HIF1A",1
"GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"OXSR1",1
"GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS","GOBP_POSITIVE_REGULATION_OF_MONOCYTE_CHEMOTAXIS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"AIF1",1
"GOBP_REGULATION_OF_AMYLOID_BETA_CLEARANCE","GOBP_REGULATION_OF_AMYLOID_BETA_CLEARANCE","GOBP_REGULATION_OF_AMYLOID_BETA_CLEARANCE","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"APOE",1
"GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","GOBP_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"PYCARD",1
"GOBP_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS","GOBP_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS","GOBP_REGULATION_OF_CATECHOLAMINE_METABOLIC_PROCESS","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"ITGB2",1
"GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY","GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY","GOBP_REGULATION_OF_LIPOPROTEIN_LIPASE_ACTIVITY","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"APOC1",1
"GOBP_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION","GOBP_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION","GOBP_REGULATION_OF_MICROGLIAL_CELL_ACTIVATION","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"GRN",1
"GOBP_REVERSE_CHOLESTEROL_TRANSPORT","GOBP_REVERSE_CHOLESTEROL_TRANSPORT","GOBP_REVERSE_CHOLESTEROL_TRANSPORT","1/171","20/17872",0.175010747866322,0.407842762657895,0.346437949844203,"APOE",1
"GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS","GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS","5/171","309/17872",0.175118926338983,0.407842762657895,0.346437949844203,"CYBA/AIF1/GABARAP/HSPA8/MAP1LC3B",5
"GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS","GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS","GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS","5/171","309/17872",0.175118926338983,0.407842762657895,0.346437949844203,"APOC1/DBI/GPAT3/FABP5/INPP5A",5
"GOBP_MYELOID_CELL_DIFFERENTIATION","GOBP_MYELOID_CELL_DIFFERENTIATION","GOBP_MYELOID_CELL_DIFFERENTIATION","6/171","393/17872",0.175692256864695,0.408729850581175,0.347191477795686,"TYROBP/HIF1A/RPS14/RPS6/C1QC/RPS19",6
"GOBP_REGULATION_OF_CELL_SHAPE","GOBP_REGULATION_OF_CELL_SHAPE","GOBP_REGULATION_OF_CELL_SHAPE","3/171","151/17872",0.176168501825557,0.409389384986306,0.34775171269032,"ITGB2/EZR/ALDOA",3
"GOBP_ASSOCIATIVE_LEARNING","GOBP_ASSOCIATIVE_LEARNING","GOBP_ASSOCIATIVE_LEARNING","2/171","80/17872",0.178240827583556,0.411554521863377,0.349590866524843,"HIF1A/PPT1",2
"GOBP_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING","GOBP_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING","GOBP_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING","2/171","80/17872",0.178240827583556,0.411554521863377,0.349590866524843,"APOE/CD36",2
"GOBP_RESPONSE_TO_OSMOTIC_STRESS","GOBP_RESPONSE_TO_OSMOTIC_STRESS","GOBP_RESPONSE_TO_OSMOTIC_STRESS","2/171","80/17872",0.178240827583556,0.411554521863377,0.349590866524843,"TSPO/OXSR1",2
"GOBP_RETINA_HOMEOSTASIS","GOBP_RETINA_HOMEOSTASIS","GOBP_RETINA_HOMEOSTASIS","2/171","80/17872",0.178240827583556,0.411554521863377,0.349590866524843,"ACTB/ACTG1",2
"GOBP_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER","GOBP_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER","GOBP_TRANSCRIPTION_INITIATION_FROM_RNA_POLYMERASE_II_PROMOTER","2/171","80/17872",0.178240827583556,0.411554521863377,0.349590866524843,"ELOB/SUB1",2
"GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","GOBP_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","4/171","231/17872",0.180873071860806,0.411554521863377,0.349590866524843,"TMSB4X/HIF1A/GRN/APOE",4
"GOBP_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS","GOBP_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS","GOBP_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS","3/171","153/17872",0.180921192336244,0.411554521863377,0.349590866524843,"GRN/ATP6V0E1/PPT1",3
"GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","3/171","153/17872",0.180921192336244,0.411554521863377,0.349590866524843,"GPX1/PYCARD/GSTP1",3
"GOBP_REGULATION_OF_RNA_SPLICING","GOBP_REGULATION_OF_RNA_SPLICING","GOBP_REGULATION_OF_RNA_SPLICING","3/171","153/17872",0.180921192336244,0.411554521863377,0.349590866524843,"RPS26/RPS13/HSPA8",3
"GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT","GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT","GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT","2/171","81/17872",0.181672317460968,0.411554521863377,0.349590866524843,"NPC2/SLC25A6",2
"GOBP_FIBROBLAST_PROLIFERATION","GOBP_FIBROBLAST_PROLIFERATION","GOBP_FIBROBLAST_PROLIFERATION","2/171","81/17872",0.181672317460968,0.411554521863377,0.349590866524843,"S100A6/GSTP1",2
"GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING","GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING","GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING","2/171","81/17872",0.181672317460968,0.411554521863377,0.349590866524843,"NOP10/HSP90AA1",2
"GOBP_ALDITOL_METABOLIC_PROCESS","GOBP_ALDITOL_METABOLIC_PROCESS","GOBP_ALDITOL_METABOLIC_PROCESS","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"TPI1",1
"GOBP_CHOLESTEROL_STORAGE","GOBP_CHOLESTEROL_STORAGE","GOBP_CHOLESTEROL_STORAGE","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"CD36",1
"GOBP_DOSAGE_COMPENSATION","GOBP_DOSAGE_COMPENSATION","GOBP_DOSAGE_COMPENSATION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"EIF1",1
"GOBP_INTESTINAL_LIPID_ABSORPTION","GOBP_INTESTINAL_LIPID_ABSORPTION","GOBP_INTESTINAL_LIPID_ABSORPTION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"CD36",1
"GOBP_LIPID_DIGESTION","GOBP_LIPID_DIGESTION","GOBP_LIPID_DIGESTION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"CD36",1
"GOBP_LIPOPROTEIN_LOCALIZATION","GOBP_LIPOPROTEIN_LOCALIZATION","GOBP_LIPOPROTEIN_LOCALIZATION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"CD36",1
"GOBP_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION","GOBP_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION","GOBP_MONOCYTE_CHEMOTACTIC_PROTEIN_1_PRODUCTION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"GSTP1",1
"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE","GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE","GOBP_NEGATIVE_REGULATION_OF_CELLULAR_SENESCENCE","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"YBX1",1
"GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS","GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"APOC1",1
"GOBP_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS","GOBP_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS","GOBP_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"GSTP1",1
"GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT","GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT","GOBP_NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"SLC25A6",1
"GOBP_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION","GOBP_POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"VAMP8",1
"GOBP_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_VACUOLE_ORGANIZATION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"GRN",1
"GOBP_POSITIVE_REGULATION_OF_VIRAL_LIFE_CYCLE","GOBP_POSITIVE_REGULATION_OF_VIRAL_LIFE_CYCLE","GOBP_POSITIVE_REGULATION_OF_VIRAL_LIFE_CYCLE","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"LGALS1",1
"GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION","GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION","GOBP_REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"GMFG",1
"GOBP_REGULATION_OF_NUCLEASE_ACTIVITY","GOBP_REGULATION_OF_NUCLEASE_ACTIVITY","GOBP_REGULATION_OF_NUCLEASE_ACTIVITY","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"RPS3",1
"GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION","GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"GABARAP",1
"GOBP_RESPONSE_TO_MUSCLE_ACTIVITY","GOBP_RESPONSE_TO_MUSCLE_ACTIVITY","GOBP_RESPONSE_TO_MUSCLE_ACTIVITY","1/171","21/17872",0.182913120828167,0.411554521863377,0.349590866524843,"HIF1A",1
"GOBP_CARBOHYDRATE_CATABOLIC_PROCESS","GOBP_CARBOHYDRATE_CATABOLIC_PROCESS","GOBP_CARBOHYDRATE_CATABOLIC_PROCESS","3/171","154/17872",0.183310618090028,0.412012436849968,0.349979837823791,"HIF1A/ALDOA/TPI1",3
"GOBP_VACUOLAR_LOCALIZATION","GOBP_VACUOLAR_LOCALIZATION","GOBP_VACUOLAR_LOCALIZATION","2/171","82/17872",0.185113697150277,0.415520270819447,0.352959532255195,"VAMP8/STXBP2",2
"GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT","GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT","3/171","155/17872",0.185708529292713,0.415520270819447,0.352959532255195,"OAZ1/ITGB2/USP36",3
"GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION","7/171","487/17872",0.186522067503907,0.415520270819447,0.352959532255195,"HIF1A/PFN1/RPS3/GRN/PYCARD/ARPC2/CAPG",7
"GOBP_REGULATION_OF_HORMONE_SECRETION","GOBP_REGULATION_OF_HORMONE_SECRETION","GOBP_REGULATION_OF_HORMONE_SECRETION","4/171","234/17872",0.186600410839436,0.415520270819447,0.352959532255195,"VAMP8/HIF1A/SELENOT/SERP1",4
"GOBP_CARBOHYDRATE_TRANSPORT","GOBP_CARBOHYDRATE_TRANSPORT","GOBP_CARBOHYDRATE_TRANSPORT","3/171","156/17872",0.188114750514775,0.415520270819447,0.352959532255195,"EZR/SLC27A4/FABP5",3
"GOBP_PLASMA_MEMBRANE_ORGANIZATION","GOBP_PLASMA_MEMBRANE_ORGANIZATION","GOBP_PLASMA_MEMBRANE_ORGANIZATION","3/171","156/17872",0.188114750514775,0.415520270819447,0.352959532255195,"S100A9/CD9/SERP1",3
"GOBP_VACUOLAR_TRANSPORT","GOBP_VACUOLAR_TRANSPORT","GOBP_VACUOLAR_TRANSPORT","3/171","156/17872",0.188114750514775,0.415520270819447,0.352959532255195,"GRN/HSPA8/ZFYVE16",3
"GOBP_REGULATED_EXOCYTOSIS","GOBP_REGULATED_EXOCYTOSIS","GOBP_REGULATED_EXOCYTOSIS","4/171","235/17872",0.18852264881026,0.415520270819447,0.352959532255195,"VAMP8/ITGB2/STXBP2/STX3",4
"GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION","GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION","GOBP_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION","2/171","83/17872",0.1885644672621,0.415520270819447,0.352959532255195,"SUPT4H1/ELOB",2
"GOBP_POSITIVE_REGULATION_OF_EXOCYTOSIS","GOBP_POSITIVE_REGULATION_OF_EXOCYTOSIS","GOBP_POSITIVE_REGULATION_OF_EXOCYTOSIS","2/171","83/17872",0.1885644672621,0.415520270819447,0.352959532255195,"VAMP8/ITGB2",2
